Date,Open,High,Low,Close,Adj Close,Volume
2016-12-12,67.607414,68.439743,67.538048,68.790001,68.162300,796000
2016-12-13,68.370384,69.093719,68.231659,69.260002,68.628014,1032400
2016-12-14,68.637962,68.936607,67.632538,68.260002,67.951088,1083200
2016-12-15,68.100410,68.588188,67.712166,68.610001,68.299500,731700
2016-12-16,68.279587,68.767380,67.523033,68.059998,67.751991,1279100
2016-12-19,67.612625,68.249725,67.065117,67.699997,67.393616,527900
2016-12-20,67.323936,67.801765,67.104935,68.010002,67.702217,604600
2016-12-21,67.941132,67.941132,67.124840,67.489998,67.184570,387400
2016-12-22,67.174622,67.194527,66.676880,67.209999,66.905838,365900
2016-12-23,66.826195,67.075066,66.627106,67.169998,66.866020,372100
2016-12-27,67.104935,67.264206,66.766472,67.529999,67.224388,261500
2016-12-28,67.274162,67.313988,66.846115,67.339996,67.035248,853200
2016-12-29,67.035248,67.164665,66.597244,67.010002,66.706749,483700
2016-12-30,66.995438,67.134796,66.666924,67.120003,66.816246,548700
2017-01-03,67.164665,67.284119,65.960136,66.680000,66.378235,614600
2017-01-04,66.348373,67.493172,66.338417,67.720001,67.413528,612500
2017-01-05,67.184570,67.841583,66.935699,67.639999,67.333893,626300
2017-01-06,67.313988,68.498596,67.214432,68.459999,68.150177,615200
2017-01-09,68.060593,68.140221,67.025299,67.769997,67.463303,639900
2017-01-10,67.313988,67.562851,66.866020,67.199997,66.895882,833900
2017-01-11,66.885933,67.493172,66.587288,67.720001,67.413528,484100
2017-01-12,67.134796,67.244301,65.800858,67.400002,67.094978,502600
2017-01-13,67.025299,67.612625,66.935699,67.709999,67.403572,461000
2017-01-17,67.055161,67.373711,66.587288,66.989998,66.686829,908800
2017-01-18,66.408104,66.985474,66.318512,67.250000,66.945656,777600
2017-01-19,66.756516,67.035248,66.189095,67.059998,66.756516,625000
2017-01-20,66.995438,67.274162,66.537506,67.360001,67.055161,637800
2017-01-23,66.756516,67.373711,66.368279,67.320000,67.015343,629700
2017-01-24,66.925751,67.980949,66.547462,67.949997,67.642487,647000
